Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2012-09-18,turbidity,NA,DET,8.12,8.12,2.094330154
TL,2012-09-18,ph,NA,DET,8.33,8.33,2.119863456
TL,2012-09-18,ammonia,NA,DET,0.028,0.028,-3.575550769
TL,2012-09-18,organic_carbon_dissolved,NA,DET,21.4,21.4,3.063390922
TL,2012-09-18,organic_carbon_total,NA,DET,18,18,2.890371758
TL,2012-09-18,alkalinity_total,NA,DET,144,144,4.9698133
TL,2012-09-18,specific_conductance,NA,DET,331,331,5.802118375
TL,2012-09-18,total_dissolved_solids,NA,DET,228,228,5.429345629
TL,2012-09-18,total_suspended_solids,NA,DET,6,6,1.791759469
TL,2012-09-18,calcium,NA,DET,51.2,51.2,3.935739532
TL,2012-09-18,chloride,NA,DET,3.8,3.8,1.335001067
TL,2012-09-18,fluoride,NA,DET,0.1,0.1,-2.302585093
TL,2012-09-18,magnesium,NA,DET,11.1,11.1,2.406945108
TL,2012-09-18,nitrate,0.01,BDL,0.01,0.005,-5.298317367
TL,2012-09-18,nitrite,0.01,BDL,0.01,0.005,-5.298317367
TL,2012-09-18,potassium,NA,DET,0.7,0.7,-0.356674944
TL,2012-09-18,sodium,NA,DET,10,10,2.302585093
TL,2012-09-18,sulfate,NA,DET,29,29,3.36729583
TL,2013-06-06,turbidity,NA,DET,5.18,5.18,1.644805056
TL,2013-06-06,total_hardness,NA,DET,111,111,4.709530201
TL,2013-06-06,ph,NA,DET,7.74,7.74,2.046401688
TL,2013-06-06,nitrogen_dissolved,NA,DET,0.6,0.6,-0.510825624
TL,2013-06-06,nitrogen_total,NA,DET,0.65,0.65,-0.430782916
TL,2013-06-06,organic_carbon_dissolved,NA,DET,19.6,19.6,2.975529566
TL,2013-06-06,organic_carbon_total,NA,DET,20.5,20.5,3.020424886
TL,2013-06-06,phosphorus_dissolved,NA,DET,0.009,0.009,-4.710530702
TL,2013-06-06,phosphorus_total,NA,DET,0.019,0.019,-3.9633163
